Gene_id	Coverage	FPKM	TPM
NGJCOJPH_00477	64.463844	31.496033	34.145023
NGJCOJPH_00478	248.225891	121.279320	131.479584
NGJCOJPH_00479	281.120087	137.350906	148.902893
NGJCOJPH_00480	484.486664	236.712677	256.621521
NGJCOJPH_00481	1177.944824	575.525574	623.930481
NGJCOJPH_00482	63.518475	31.034142	33.644283
NGJCOJPH_00483	39.790306	19.440926	21.076017
NGJCOJPH_00484	83.485847	40.789886	44.220547
NGJCOJPH_00485	101.544388	49.613010	53.785740
NGJCOJPH_00486	551.361633	269.386749	292.043671
NGJCOJPH_00487	618.864685	302.367676	327.798492
NGJCOJPH_00488	119.081009	58.181133	63.074490
NGJCOJPH_00489	23.198158	11.334260	12.287534
NGJCOJPH_00490	223.033951	108.970924	118.135986
NGJCOJPH_00491	1163.424927	568.431396	616.239563
NGJCOJPH_00492	143.163910	69.947670	75.830650
NGJCOJPH_00493	183.388107	89.600586	97.136490
NGJCOJPH_00494	217.380737	106.208855	115.141609
NGJCOJPH_00495	241.563721	118.024284	127.950783
NGJCOJPH_00496	227.281860	111.046394	120.386002
NGJCOJPH_00497	219.656250	107.320641	116.346901
NGJCOJPH_00498	232.067062	113.384361	122.920616
NGJCOJPH_00499	283.033875	138.285950	149.916580
NGJCOJPH_00500	365.238495	178.449860	193.458481
NGJCOJPH_00501	166.719666	81.456642	88.307594
NGJCOJPH_00502	221.468277	108.205963	117.306679
NGJCOJPH_00503	201.814957	98.603653	106.896774
NGJCOJPH_00504	492.693359	240.722321	260.968414
NGJCOJPH_00505	312.895477	152.875870	165.733597
NGJCOJPH_00506	228.681915	111.730431	121.127586
NGJCOJPH_00507	63.598377	31.073181	33.686607
NGJCOJPH_00508	555.052490	271.190033	293.998627
NGJCOJPH_00509	170.865570	83.482269	90.503586
NGJCOJPH_00510	112.914406	55.168228	59.808182
